3:42	お前ら_	僕にも長大？
3:42	ns zn	天鳳の扱い
3:42	司令_つかされい	食レポ配信ならツイキャスでやれや
3:42	keg-on{けごん}	もっと食いながら配信しろ
3:42	ふれでぃー	ｶﾗｶﾗ音がする～
3:43	しれいかん	かわいいからいいよ
3:43	いざよいさくや	天鳳に雑な女
3:43	清水めだか	天鳳はいいのかｗ
3:43	にがうり	つのだにごめんなさいしよ？
3:43	ミーアキャット	いいよ
3:43	wildcat5314	チョコ味
3:43	トム	天鳳はいいでしょは草
3:43	西都なつ	天鳳は？ｗ
3:43	Takebon[たけぼん]	自由すぎるｗ
3:44	レーマリカヒ	めっちゃからんからん聞こえるｗｗ
3:44	おかしろ	草
3:45	よっしー	天鳳に怒られろ！！！
3:45	taka32 S	かわいい
3:46	猫神楽	アイス食いながら配信してもいいけど歯医者に行くんだぞ？
3:46	ゴリラのきゃんの	天鳳に謝って
3:46	桜葉漬け	まあ天鳳なら…
3:47	みーや	怒られてて草
3:47	オボン	天鳳なら許されるという風潮
3:47	くらつ	天鳳ならいいってどういう基準ｗ
3:47	りべ	天鳳はいいでしょ草
3:48	Orpheus1221	天鳳はいいでしょうww
3:48	ぷらんと	天鳳ならいいのか…
3:48	木一	かわいい
3:48	ぶたどん	歯医者行け😠😠😠
3:48	白月しろつき	結局何喰ってたんだ・・？
3:48	ほわちゃん	美味しかった？
3:49	しゅー	どういう問題だｗｗ
3:49	友利匡志	かわいいなぁ
3:50	ロザエ	はじまってたぞ
3:50	〆作	草
3:50	ザッハトルテ。	始まってたんだよなぁ…
3:52	レイザーRR	ここで食レポ
3:53	きゅーかんばー	草
3:53	Jジェイ	そうだな、始まったな(真顔)
3:53	室澤守流世	あーあいす食べたくなってきたｗｗ
3:53	ギンジ	いいよw
3:54	mo's!	そのうちおにぎり片手に麻雀配信はじめそう
3:54	伊奈ぴょん	※ 始まってました
3:54	お前ら_	僕も食べさせられて～
3:54	かえるライダー	仕切りなおすんかいｗｗ
3:54	ユーミン	すっと切り替えたなｗｗ
3:54	芋下きぬ	食べるならASMRにしろ
3:54	トリウナギ	急に真面目になるな
